datum,messstation,temperatur_c,luftfeuchte_pct,niederschlag_mm,windgeschwindigkeit_kmh
2026-04-01,Freiberg-Mitte,8.4,72,0.0,11.2
2026-04-02,Freiberg-Mitte,9.1,68,0.0,9.7
2026-04-03,Freiberg-Mitte,7.8,81,2.4,14.5
2026-04-04,Freiberg-Mitte,6.2,88,5.1,18.3
2026-04-05,Freiberg-Mitte,5.9,85,3.7,16.0
2026-04-06,Freiberg-Mitte,8.7,74,0.2,10.5
2026-04-07,Freiberg-Mitte,11.3,65,0.0,8.1
2026-04-08,Freiberg-Mitte,13.6,58,0.0,7.4
2026-04-09,Freiberg-Mitte,14.2,55,0.0,9.0
2026-04-10,Freiberg-Mitte,12.8,62,0.8,12.6
2026-04-11,Freiberg-Mitte,10.4,71,1.5,13.9
2026-04-12,Freiberg-Mitte,9.8,76,0.4,11.8
2026-04-13,Freiberg-Mitte,11.5,69,0.0,10.2
2026-04-14,Freiberg-Mitte,13.9,60,0.0,8.7
